n_key,total,r,kind,n_seeds,acc_mean,acc_std,gain_vs_baseline,oracle_minus_aug
n1000,1000,0.0,baseline,3,0.9559,0.0025,,
n1000,1000,0.5,aug,3,0.9551,0.0017,-0.0008,
n1000,1000,0.5,oracle,3,0.9637,0.0007,0.0078,0.0086
n1000,1000,1.0,aug,3,0.9568,0.0015,0.0008,
n1000,1000,1.0,oracle,3,0.9680,0.0006,0.0121,0.0113
n1000,1000,2.0,aug,3,0.9548,0.0031,-0.0012,
n1000,1000,2.0,oracle,3,0.9740,0.0011,0.0181,0.0192
n1000,1000,4.0,aug,3,0.9594,0.0001,0.0035,
n1000,1000,4.0,oracle,3,0.9793,0.0013,0.0234,0.0199
n1000,1000,8.0,aug,3,0.9616,0.0002,0.0056,
n1000,1000,8.0,oracle,3,0.9837,0.0009,0.0277,0.0221
n10000,10000,0.0,baseline,3,0.9839,0.0007,,
n10000,10000,0.5,aug,3,0.9834,0.0009,-0.0005,
n10000,10000,0.5,oracle,3,0.9862,0.0016,0.0023,0.0028
n10000,10000,1.0,aug,3,0.9838,0.0004,-0.0001,
n10000,10000,1.0,oracle,3,0.9885,0.0003,0.0046,0.0047
n10000,10000,2.0,aug,3,0.9854,0.0004,0.0014,
n10000,10000,2.0,oracle,3,0.9890,0.0008,0.0051,0.0037
n10000,10000,4.0,aug,3,0.9858,0.0005,0.0019,
n10000,10000,8.0,aug,3,0.9885,0.0008,0.0045,
n5000,5000,0.0,baseline,3,0.9790,0.0005,,
n5000,5000,0.5,aug,3,0.9789,0.0008,-0.0000,
n5000,5000,0.5,oracle,3,0.9816,0.0014,0.0026,0.0026
n5000,5000,1.0,aug,3,0.9791,0.0003,0.0001,
n5000,5000,1.0,oracle,3,0.9837,0.0002,0.0048,0.0047
n5000,5000,2.0,aug,3,0.9801,0.0008,0.0012,
n5000,5000,2.0,oracle,3,0.9866,0.0018,0.0076,0.0065
n5000,5000,4.0,aug,3,0.9810,0.0009,0.0021,
n5000,5000,4.0,oracle,3,0.9890,0.0001,0.0101,0.0080
n5000,5000,8.0,aug,3,0.9835,0.0003,0.0046,
n5000,5000,8.0,oracle,3,0.9903,0.0006,0.0114,0.0068
n60000,55000,0.0,baseline,3,0.9919,0.0003,,
n60000,55000,0.5,aug,3,0.9911,0.0005,-0.0008,
n60000,55000,1.0,aug,3,0.9922,0.0003,0.0003,
n60000,55000,2.0,aug,3,0.9927,0.0005,0.0008,
n60000,55000,4.0,aug,3,0.9931,0.0003,0.0012,
n60000,55000,8.0,aug,3,0.9941,0.0006,0.0022,
